faj	kormeret	telepules	megyeid	meres
kocsányos tölgy	551	Hegyhátszentmárton	17	2008
közönséges bükk	511	Herend	18	2008
kocsányos tölgy	583	Sárvár	17	2007
zöld juhar	400	Helesfa	2	2009
juharlevelű platán	637	Budapest	13	2003
lucfenyő	418	Jávorkút	4	2009
kocsányos tölgy	596	Gemenc	16	2009
juharlevelű platán	992	Pápa	18	2004
közönséges bükk	505	Herend	18	2008
fehér nyár	660	Algyő	5	2002
kocsányos tölgy	500	Tatabánya	11	2008
fekete nyár	740	Barcs	14	2010
fekete fenyő	340	Dég	6	2009
fekete nyár	644	Gemenc	16	2010
hegyi szil	402	Zirc	18	2010
fűz	725	Gemenc	1	2010
fekete nyár	676	Rákóczifalva	10	2011
ezüst juhar	403	Szeged	5	2010
magyar kőris	565	Drávaszentes	14	2011
szelídgesztenye	586	Iharosberény	14	2004
közönséges bükk	401	Lókút	18	2010
közönséges bükk	438	Szászvár	2	2011
kocsányos tölgy	580	Kisgyőr	4	2011
közönséges bükk	423	Pénzesgyőr	18	2006
közönséges bükk	406	Hárskút	18	2010
kislevelű hárs	460	Pölöske	19	2010
kocsányos tölgy	510	Pettend	2	2008
közönséges bükk	440	Pénzesgyőr	18	2010
fekete dió	626	Zomba	16	2006
fekete nyár	688	Barcs	14	2010
kocsányos tölgy	540	Lentiszombathely	19	2003
kocsányos tölgy	524	Szőcsénypuszta	14	2008
fehér fűz	715	Bélmegyer	3	2002
kocsányos tölgy	535	Dénesfa	7	2003
kocsányos tölgy	565	Tiszakürt	10	2004
kocsányos tölgy	545	Nagykölked	17	2003
gyertyán	388	Monostorapáti	18	2008
fekete nyár	667	Rákóczifalva	10	2011
nagylevelű hárs	563	Márianosztra	13	2008
törökmogyoró	347	Romhány	12	2005
közönséges bükk	411	Eszteregnye	19	2010
kocsányos tölgy	558	Bolhó	14	2003
közönséges bükk	444	Borsodnádasd	4	2010
közönséges bükk	444	Szuha	12	2003
fekete nyár	625	Szegvár	5	2007
közönséges bükk	408	Püspökszentlászló	2	2011
kocsányos tölgy	630	Gemenc	16	2003
csertölgy	519	Vásárosbéc	2	2009
kocsányos tölgy	502	Cserépfalu	4	2008
szelídgesztenye	509	Újudvar	19	2006
közönséges bükk	472	Barátipuszta	19	2004
fehér fűz	613	Szekszárd	16	2009
közönséges bükk	414	Kőszeg	17	2010
kislevelű hárs	558	Gencsapáti	17	2007
fekete nyár	695	Gemenc	16	2011
kocsányos tölgy	575	Szalafő	17	2004
közönséges bükk	450	Kárász	2	2010
fekete nyár	637	Rum	17	2006
kocsányos tölgy	507	Galgamácsa	13	2004
gyertyán	360	Komlósd	14	2011
kocsányos tölgy	578	Péterhida	14	2003
közönséges bükk	469	Somogyviszló	2	2009
hárs	460	Kisdobsza	2	2008
fekete nyár	1010	Köröstarcsa	3	2008
mezei juhar	398	Csertő	2	2010
kocsányos tölgy	524	Túristvándi	15	2009
fehér akác	349	Sonkád	15	2009
juharlevelű platán	731	Pápa	18	2007
fekete nyár	1064	Révfalu	2	2010
kocsányos tölgy	500	Molvány	2	2011
kocsányos tölgy	575	Sárvár	17	2003
enyves éger	412	Devecser	18	2008
hárs	490	Monostorapáti	18	2009
szelídgesztenye	586	Bazsi	18	2008
kocsányos tölgy	748	Bak	19	2004
gyertyán	528	Somogytúr	14	2009
kocsányos tölgy	611	Oroszlány	11	2005
óriás mamutfenyő	612	Zalahaláp	18	2009
nagylevelű hárs	517	Nagykovácsi	13	2011
gyertyán	426	Monostorapáti	18	2008
fűz	696	Lovasberény	6	2010
kocsányos tölgy	528	Túristvándi	15	2009
közönséges bükk	443	Bükk-fennsík	9	2009
közönséges bükk	400	Borsodnádasd	4	2010
fekete nyár	698	Gemenc	1	2010
vadkörte	331	Túristvándi	15	2009
közönséges bükk	426	Bükkszentkereszt	4	2007
kocsányos tölgy	512	Molvány	2	2011
közönséges bükk	435	Hárskút	18	2010
kocsányos tölgy	623	Bárdudvarnok	14	2008
fűz	726	Gemenc	16	2010
közönséges bükk	432	Bükkszentkereszt	4	2007
fekete nyár	677	Pécs	2	2010
fekete nyár	642	Mártély	5	2008
kocsányos tölgy	545	Tornyópuszta	11	2011
gyertyán	369	Péterhida	14	2009
juharlevelű platán	979	Peresznye	17	2002
fekete nyár	705	Barcs	14	2010
kocsányos tölgy	500	Kisgyőr	4	2010
közönséges bükk	410	Olaszfalu	18	2010
közönséges bükk	432	Felsőmarác	17	2007
közönséges bükk	461	Gadány	14	2010
vadcseresznye	355	Lad	14	2009
közönséges bükk	411	Olaszfalu	18	2010
közönséges bükk	510	Sopron	7	2009
óriás mamutfenyő	624	Gencsapáti	17	2004
közönséges bükk	439	Monostorapáti	18	2008
kocsányos tölgy	509	Martonvásár	6	2003
fekete nyár	710	Baja	1	2010
kocsányos tölgy	503	Túristvándi	15	2009
kocsányos tölgy	619	Merenye	2	2009
japánakác	449	Zirc	18	2010
közönséges bükk	429	Olaszfalu	18	2010
vadgesztenye	408	Fehérvárcsurgó	6	2010
fehér nyár	880	Dóc	5	2004
kocsányos tölgy	530	Komlósd	14	2011
közönséges bükk	422	Pénzesgyőr	18	2009
kislevelű hárs	500	Őriszentpéter	17	2004
közönséges bükk	571	Ugod	18	2006
kocsányos tölgy	500	Zsennye	17	2005
közönséges bükk	584	Ugod	18	2006
közönséges bükk	466	Olaszfalu	18	2010
közönséges bükk	445	Lókút	18	2010
kocsányos tölgy	616	Sárvár	17	2003
szelídgesztenye	586	Iharosberény	14	2008
közönséges bükk	404	Pénzesgyőr	18	2009
közönséges bükk	434	Bánkút	4	2009
kocsányos tölgy	512	Szabadkígyós	3	2004
fehér eper	456	Cserépváralja	4	2005
kocsányos tölgy	618	Póstelek	3	2009
nagylevelű hárs	579	Sopronhorpács	7	2004
magas kőris	512	Lókút	18	2010
kocsányos tölgy	560	Szeremle	1	2010
kislevelű hárs	402	Pölöske	19	2010
kocsányos tölgy	615	Tornyiszentmiklós	19	2003
fekete nyár	644	Gemenc	16	2009
közönséges bükk	519	Monostorapáti	18	2008
hárs	546	Kisláng	6	2004
korai juhar	402	Herend	18	2008
ezüsthárs	435	Almamellék	2	2009
fűz	640	Ásványráró	7	2010
kislevelű hárs	533	Szeleste	17	2003
fekete nyár	677	Kemence	13	2009
kocsányos tölgy	616	Bóly	2	2003
fekete nyár	601	Pátka	6	2008
kocsányos tölgy	626	Gemenc	16	2003
szelídgesztenye	560	Iharosberény	14	2004
vadgesztenye	429	Budapest	13	2010
hárs	400	Zirc	18	2004
szelídgesztenye	518	Zengővárkony	2	2004
fekete nyár	837	Hódmezővásárhely	5	2006
kocsányos tölgy	512	Borsodivánka	4	2003
kocsányos tölgy	551	Homokszentgyörgy	14	2005
fűz	722	Lovasberény	6	2010
szelídgesztenye	506	Bazsi	18	2008
fekete bodza	165	Hajdúböszörmény	8	2010
fekete nyár	705	Szekszárd	16	2009
csertölgy	532	Kaposvár	14	2008
magas kőris	510	Bodrogolaszi	4	2009
közönséges bükk	410	Monostorapáti	18	2008
közönséges bükk	514	Monostorapáti	18	2008
kocsánytalan tölgy	535	Börzönce	19	2004
kocsányos tölgy	580	Uraiújfalu	17	2007
hegyi szil	444	Hárskút	18	2004
közönséges bükk	500	Monostorapáti	18	2008
gyertyán	331	Bükkszentkereszt	4	2007
közönséges bükk	519	Zselickisfalud	14	2006
vadkörte	326	Bogyiszló	16	2007
fekete nyár	1072	Adony	6	2009
közönséges bükk	420	Rigyác	19	2004
csertölgy	592	Almamellék	2	2009
közönséges bükk	407	Rigyác	19	2004
Kislevelű hárs	492	Lad	14	2009
kocsányos tölgy	610	Gyulavári	3	2002
kocsányos tölgy	540	Karapancsa	1	2009
hárs	405	Kislőd	18	2008
kocsányos tölgy	503	Rinyabesenyő	14	2007
fekete nyár	666	Tiszabecs	15	2009
fekete nyár	667	Parádfürdő	9	2007
közönséges bükk	433	Magyarlukafa	2	2009
szelídgesztenye	503	Iharosberény	14	2008
lucfenyő	365	Pölöske	19	2007
közönséges bükk	468	Hárskút	18	2010
közönséges bükk	411	Monostorapáti	18	2008
kocsányos tölgy	506	Tuzsér	15	2003
közönséges bükk	490	Püspökszentlászló	2	2011
lucfenyő	359	Jávorkút	4	2009
kocsányos tölgy	531	Bolhó	14	2003
kocsányos tölgy	695	Kisgyőr	4	2010
törökmogyoró	412	Gyöngyös	9	2008
kocsányos tölgy	704	Guthi erdészet	8	2003
fekete nyár	870	Drávapalkonya	2	2003
kocsányos tölgy	506	Gemenc	16	2003
kocsányos tölgy	559	Csokonyavisonta	14	2003
kocsányos tölgy	618	Becsvölgye	19	2004
kocsányos tölgy	560	Kisbózsva	4	2008
vadgesztenye	474	Iharosberény	14	2007
szelídgesztenye	514	Iharosberény	14	2004
kocsányos tölgy	540	Dénesfa	7	2007
fehér nyár	735	Hódmezővásárhely	5	2002
kocsányos tölgy	540	Gemenc	16	2003
fekete nyár	663	Mártély	5	2008
hárs	465	Velence	6	2004
juharlevelű platán	712	Pápa	18	2007
közönséges bükk	433	Olaszfalu	18	2010
kocsányos tölgy	500	Szeremle	1	2010
közönséges bükk	428	Csurgónagymarton	14	2008
szelídgesztenye	658	Pogányvár	19	2003
fekete nyár	696	Gyúró	6	2010
közönséges bükk	409	Pénzesgyőr	18	2006
közönséges bükk	446	Püspökszentlászló	2	2011
közönséges bükk	453	Börzsöny	13	2004
erdei fenyő	344	Somogyudvarhely	14	2008
vénic szil	488	Bolhó	14	2003
közönséges bükk	550	Kám	17	2010
juharlevelű platán	717	Pölöske	19	2003
kocsányos tölgy	594	Pörböly	16	2005
közönséges bükk	449	Lengyel	16	2007
magas kőris	500	Hidasnémeti	4	2008
közönséges bükk	449	Sikonda	2	2008
közönséges bükk	400	Bánkút	4	2009
kocsányos tölgy	520	Tótszentgyörgy	2	2008
lucfenyő	371	Jávorkút	4	2009
enyves éger	367	Szombathely	17	2008
kocsányos tölgy	545	Sárvár	17	2003
fehér akác	326	Somogytarnóca	14	2011
kocsányos tölgy	503	Lad	14	2009
gyertyán	555	Oroklán	19	2011
kocsányos tölgy	526	Molvány	2	2011
nagylevelű hárs	435	Fehérvárcsurgó	6	2007
szelídgesztenye	564	Velem	17	2008
fekete nyár	617	Hódmezővásárhely	5	2006
juharlevelű platán	666	Pápa	18	2004
közönséges bükk	420	Olaszfalu	18	2010
szürke nyár	635	Kehidakustány	19	2005
fekete dió	406	Zirc	18	2010
kocsányos tölgy	522	Alsóbogát	14	2007
kocsányos tölgy	654	Egerbakta	9	2004
közönséges bükk	456	Hárskút	18	2010
fehér akác	630	Bábolna	7	2006
juharlevelű platán	620	Somogyfajsz	14	2010
kocsányos tölgy	524	Sárvár	17	2003
bálványfa	468	Szabatonpuszta	16	2009
kocsányos tölgy	536	Drávasztára	2	2002
kocsányos tölgy	505	Nemesnép	19	2004
közönséges bükk	471	Csurgónagymarton	14	2008
vadkörte	344	Gyöngyösfalu	17	2007
kocsányos tölgy	548	Nagyrábé	8	2007
kocsányos tölgy	584	Pusztavacs	13	2004
közönséges bükk	439	Barátipuszta	19	2004
kocsányos tölgy	501	Dég	6	2009
kocsányos tölgy	594	Sárvár	17	2003
közönséges bükk	452	Bükkszentkereszt	4	2007
kocsányos tölgy	546	Darnó	15	2009
juharlevelű platán	689	Budapest	13	2010
mezei juhar	364	Somogyvár	14	2007
zöld juhar	337	Tornaszentjakab	4	2008
kocsányos tölgy	546	Kákics	2	2002
hárs	403	Kislőd	18	2008
fehér nyár	606	Maroslele	5	2006
fehér fűz	743	Csala	6	2008
fehér nyár	640	Barcs	14	2009
kocsányos tölgy	684	Drávaszentes	14	2011
közönséges bükk	425	Kőszeg	17	2009
fekete nyár	708	Baja	1	2008
kocsányos tölgy	649	Tarpa	15	2009
fekete nyár	692	Gemenc	1	2010
kocsányos tölgy	519	Túristvándi	15	2009
közönséges bükk	630	Monostorapáti	18	2008
közönséges bükk	414	Monostorapáti	18	2009
kocsányos tölgy	542	Lentiszombathely	19	2003
kocsányos tölgy	592	Tiszaigar	10	2003
közönséges bükk	433	Szőcsénypuszta	14	2008
fehér akác	382	Somogytarnóca	14	2011
vadgesztenye	440	Gic	18	2010
lucfenyő	350	Sopron	7	2009
kocsányos tölgy	663	Harkakötöny	1	2003
mezei szil	441	Csákvár	6	2004
kocsányos tölgy	563	Magyarlukafa	2	2009
kocsányos tölgy	561	Gemenc	1	2010
gyertyán	413	Vöröstó	18	2009
kocsánytalan tölgy	587	Bögöte	17	2004
kislevelű hárs	547	Zsennye	17	2003
szelídgesztenye	613	Nemesdéd	14	2003
kocsányos tölgy	506	Teklafalu	2	2009
közönséges bükk	414	Csurgónagymarton	14	2008
kocsányos tölgy	500	Tapsony	14	2010
közönséges bükk	545	Nagykorpád	14	2005
kocsányos tölgy	543	Teklafalu	2	2005
kocsányos tölgy	533	Pusztavacs	13	2004
juharlevelű platán	662	Hőgyész	16	2004
gyertyán	386	Lajosháza	14	2009
közönséges bükk	468	Püspökszentlászló	2	2011
fekete nyár	897	Szekszárd	16	2009
lucfenyő	338	Sopron	7	2009
közönséges bükk	543	Pénzesgyőr	18	2010
kocsányos tölgy	543	Sárvár	17	2003
közönséges bükk	430	Monostorapáti	18	2009
kocsányos tölgy	500	Ikervár	17	2008
közönséges bükk	413	Püspökszentlászló	2	2011
vörösfenyő	335	Répáshuta	4	2007
közönséges bükk	412	Bükkszentkereszt	4	2007
kocsányos tölgy	508	Túristvándi	15	2009
közönséges bükk	473	Hárskút	18	2004
közönséges bükk	404	Pénzesgyőr	18	2009
közönséges bükk	408	Borsodnádasd	4	2010
krémfehér liliomfa	275	Bozsok	17	2008
császárfa	417	Kaposvár	14	2008
közönséges bükk	507	Gézaháza	18	2009
hárs	456	Tardos	11	2004
ostorfa	398	Adony	6	2009
fekete nyár	666	Szigetvár	2	2009
kocsányos tölgy	737	Bogdása	2	2003
közönséges bükk	429	Monostorapáti	18	2009
kocsányos tölgy	606	Iklódbördőce	19	2004
kocsányos tölgy	577	Tornyiszentmiklós	19	2003
japánakác	453	Tömörd	17	2007
fekete fenyő	431	Lovászpatona	18	2010
korai nyár	617	Hajdúhadház	8	2002
közönséges bükk	535	Szulimán	2	2009
közönséges bükk	426	Bükkszentkereszt	4	2007
szelídgesztenye	633	Csipkerek	17	2007
kocsányos tölgy	605	Somogytarnóca	14	2011
mocsárciprus	390	Sülysáp	13	2010
fűz	610	Örvényes	18	2009
közönséges bükk	420	Csurgónagymarton	14	2008
fekete nyár	711	Rum	17	2006
kocsányos tölgy	510	Kisbér	11	2010
mocsárciprus	361	Kőszeg	17	2008
kocsányos tölgy	540	Komlósd	14	2011
mezei juhar	372	Lajosháza	14	2009
kocsányos tölgy	502	Szarvas	3	2009
nagylevelű hárs	670	Börzsöny	12	2011
fűz	776	Tardos	11	2010
kocsányos tölgy	694	Bak	19	2003
fehér akác	342	Somogytarnóca	14	2011
közönséges bükk	497	Bükkszentkereszt	4	2007
magyar kőris	592	Bolhó	14	2007
kocsányos tölgy	595	Zsennye	17	2005
kocsányos tölgy	541	Hegyhátszentmárton	17	2008
zöld juhar	391	Jánkmajtis	15	2009
fekete nyár	898	Miskolc	4	2004
közönséges bükk	496	Ugod	18	2007
gyertyán	342	Monostorapáti	18	2008
fehér nyár	775	Lónya	15	2003
fekete nyár	615	Szekszárd	16	2009
közönséges bükk	405	Herend	18	2008
közönséges bükk	442	Bükkszentkereszt	4	2007
kocsányos tölgy	515	Muraszemenye	19	2011
csertölgy	526	Káld	17	2010
kislevelű hárs	508	Kercaszomor	17	2004
kislevelű hárs	523	Kőszeg	17	2005
közönséges bükk	402	Csipkéskút	4	2009
hegyi juhar	642	Ikervár	17	2003
juharlevelű platán	606	Zomba	16	2009
közönséges bükk	474	Bükkszentkereszt	4	2007
kocsányos tölgy	620	Sárvár	17	2003
kocsányos tölgy	570	Bokod	11	2005
kocsányos tölgy	561	Teklafalu	2	2005
kocsányos tölgy	548	Kerkafalva	19	2004
fekete nyár	690	Ásványráró	7	2010
szelídgesztenye	756	Surd	19	2004
közönséges bükk	439	Pénzesgyőr	18	2009
közönséges bükk	404	Monostorapáti	18	2009
kocsányos tölgy	507	Sellye	2	2009
közönséges bükk	500	Monostorapáti	18	2008
kocsányos tölgy	609	Almamellék	2	2003
kocsányos tölgy	545	Tuzsér	15	2003
egybibés galagonya	125	Darány	14	2011
japánakác	406	Tápióság	13	2011
közönséges bükk	465	Monostorapáti	18	2008
közönséges bükk	535	Kárász	2	2010
gyertyán	378	Monostorapáti	18	2008
japánakác	457	Alcsútdoboz	6	2007
kislevelű hárs	446	Martonvásár	6	2003
kocsányos tölgy	569	Csokonyavisonta	14	2003
szelídgesztenye	600	Bak	19	2002
fehér akác	386	Somogytarnóca	14	2011
mezei szil	432	Nagyváty	2	2010
nagylevelű hárs	471	Nagykovácsi	13	2011
kislevelű hárs	450	Budapest	13	2005
hárs	445	Sárvár	17	2002
juharlevelű platán	809	Szabadbattyán	6	2004
közönséges bükk	445	Zselickisfalud	14	2006
kocsányos tölgy	513	Zádor	2	2005
kocsányos tölgy	588	Tiszadob	15	2003
juharlevelű platán	686	Alcsútdoboz	6	2007
közönséges bükk	449	Bükkszentkereszt	4	2007
közönséges bükk	400	Herend	18	2008
kocsányos tölgy	516	Vejti	2	2002
kocsányos tölgy	500	Szarvas	3	2003
szelídgesztenye	652	Velem	17	2004
ostorfa	335	Alsóhídvégpuszta	16	2009
fekete nyár	745	Budapest	13	2010
japánakác	680	Vásárosnamény	15	2009
kocsányos tölgy	615	Csokonyavisonta	14	2003
kocsányos tölgy	610	Ziliz	4	2003
közönséges bükk	401	Monostorapáti	18	2008
fekete nyár	618	Budapest	13	2010
kocsányos tölgy	507	Budafapuszta	19	2004
magas kőris	521	Pápa	18	2004
gyertyán	460	Vöröstó	18	2009
tiszafa	437	Hencse	14	2006
fehér nyár	740	Torony	17	2006
fekete nyár	725	Gemenc	1	2009
fekete nyár	687	Barcs	14	2005
kocsányos tölgy	675	Tardos	11	2010
húsos som	307	Császló	15	2009
kocsányos tölgy	520	Sárvár	17	2003
kocsányos tölgy	514	Sárvár	17	2003
fekete bodza	122	Darány	14	2011
közönséges bükk	430	Monostorapáti	18	2008
kocsányos tölgy	501	Gersekarát	17	2008
kocsányos tölgy	522	Lad	14	2005
hárs	411	Kisbózsva	4	2008
fekete nyár	774	Révfalu	2	2010
ginkgo	415	Sellye	2	2009
fűz	625	Lovasberény	6	2010
fekete nyár	614	Csepreg	17	2007
közönséges bükk	408	Pénzesgyőr	18	2009
kocsányos tölgy	678	Barcs	14	2003
fűz	840	Szabolcsbáka	15	2003
fekete nyár	720	Gemenc	1	2010
fehér nyár	1013	Süttő	11	2006
kocsányos tölgy	501	Potony	14	2005
lucfenyő	396	Sopron	7	2009
közönséges bükk	460	Acsád	17	2006
fekete nyár	1000	Barcs	14	2005
kocsányos tölgy	576	Gerla	3	2004
kocsányos tölgy	726	Zsennye	17	2005
kocsányos tölgy	503	Homokszentgyörgy	14	2005
szelídgesztenye	656	Csepreg	17	2007
kocsányos tölgy	515	Mikepércs	8	2009
kocsányos tölgy	518	Lad	14	2006
fekete nyár	667	Szekszárd	16	2010
közönséges bükk	406	Magyarlukafa	2	2009
közönséges bükk	551	Pénzesgyőr	18	2009
kocsányos tölgy	581	Sárvár	17	2003
szelídgesztenye	520	Surd	19	2008
juharlevelű platán	628	Füzérradvány	4	2004
kocsányos tölgy	531	Ikervár	17	2008
gyertyán	386	Felsőtárkány	9	2005
japánakác	400	Szőcsénypuszta	14	2010
japánakác	478	Dég	6	2004
közönséges bükk	518	Gyűrűfű	2	2009
közönséges bükk	414	Telkibánya	4	2009
kocsányos tölgy	505	Orosztony	19	2003
magas kőris	524	Devecser	18	2004
közönséges bükk	401	Hárskút	18	2010
fekete nyár	694	Gemenc	1	2004
juharlevelű platán	626	Pápa	18	2007
vadcseresznye	333	Bak	19	2010
japánakác	559	Mezőcsokonya	14	2008
juharlevelű platán	604	Budapest	13	2010
csertölgy	584	Lajosháza	14	2009
közönséges bükk	434	Hárskút	18	2004
közönséges bükk	415	Pénzesgyőr	18	2009
tulipánfa	480	Somogytarnóca	14	2010
ezüst juhar	440	Pócsmegyer	13	2011
fekete nyár	611	Gemenc	16	2010
juharlevelű platán	660	Pápa	18	2007
enyves éger	650	Szilvásvárad	9	2004
fehér fűz	640	Gemenc	16	2011
nagylevelű hárs	409	Barcs	14	2002
kocsányos tölgy	567	Darány	14	2011
juharlevelű platán	745	Tunyogmatolcs	15	2009
kocsányos tölgy	588	Túristvándi	15	2009
kocsányos tölgy	534	Komlósd	14	2011
fehér fűz	666	Káloz	6	2010
közönséges bükk	499	Vajdácska	4	2007
fekete nyár	651	Gemenc	16	2010
ezüst juhar	381	Óbánya	2	2010
közönséges bükk	409	Vásárosbéc	2	2009
kocsányos tölgy	530	Füzérradvány	4	2004
kocsányos tölgy	580	Csákánydoroszló	17	2004
kocsányos tölgy	500	Encs	4	2009
közönséges bükk	423	Zsennye	17	2003
kocsányos tölgy	579	Tornyiszentmiklós	19	2003
szürke nyár	888	Vásárosnamény	15	2009
közönséges bükk	420	Bánkút	4	2009
hárs	436	Tardos	11	2004
hárs	557	Hőgyész	16	2003
kocsányos tölgy	610	Gyermely	11	2004
fűz	694	Gemenc	1	2010
kocsányos tölgy	510	Túristvándi	15	2009
közönséges bükk	477	Sikonda	2	2008
közönséges bükk	400	Hárskút	18	2004
szelídgesztenye	657	Surd	19	2008
fekete nyár	608	Budapest	13	2010
kocsányos tölgy	506	Tardos	11	2010
korai juhar	382	Somogytarnóca	14	2010
közönséges bükk	470	Pénzesgyőr	18	2009
kocsányos tölgy	554	Tornaszentjakab	4	2008
juharlevelű platán	630	Szabadkígyós	3	2010
hegyi juhar	382	Szilvásvárad	4	2008
közönséges bükk	545	Monostorapáti	18	2008
kocsányos tölgy	615	Rátót	17	2003
kocsányos tölgy	712	Barcs	14	2005
közönséges bükk	415	Püspökszentlászló	2	2011
közönséges bükk	436	Püspökszentlászló	2	2011
kocsányos tölgy	540	Buják	12	2008
nagylevelű hárs	560	Mór	6	2007
vadkörte	318	Kaposvár	14	2008
fekete fenyő	312	Kéked	4	2010
kocsányos tölgy	566	Tiszadob	15	2003
fekete nyár	955	Révfalu	2	2005
szürke nyár	709	Helesfa	2	2011
gyertyán	346	Zádor	2	2005
közönséges bükk	426	Borsodnádasd	4	2010
közönséges bükk	449	Szőcsénypuszta	14	2008
hárs	406	Olaszfalu	18	2010
fekete nyár	712	Tárnok	13	2009
kocsányos tölgy	565	Nyésta	4	2010
kocsányos tölgy	607	Galgamácsa	13	2004
gyertyán	346	Orosztony	19	2003
vadkörte	375	Darány	14	2011
kislevelű hárs	449	Monostorapáti	18	2009
közönséges bükk	446	Balatonhenye	18	2003
kocsányos tölgy	510	Túristvándi	15	2009
közönséges bükk	530	Börzsöny	12	2011
fehér nyár	623	Barcs	14	2010
szelídgesztenye	508	Csipkerek	17	2002
kocsányos tölgy	521	Diósviszló	2	2010
fehér nyár	731	Békéscsaba	3	2002
erdei fenyő	347	Káld	17	2010
fekete nyár	746	Maroslele	5	2000
vadkörte	370	Tapsony	14	2010
szelídgesztenye	516	Zengővárkony	2	2005
fekete nyár	656	Gemenc	1	2010
vadgesztenye	412	Egervár	19	2011
mocsárciprus	350	Devecser	18	2010
közönséges bükk	421	Püspökszentlászló	2	2011
kocsányos tölgy	505	Körmend	17	2007
fekete nyár	623	Gór	17	2007
közönséges bükk	431	Pénzesgyőr	18	2009
közönséges bükk	425	Vászoly	18	2000
kocsányos tölgy	572	Sárvár	17	2003
kocsányos tölgy	506	Békéscsaba	3	2003
nagylevelű hárs	470	Gönc	4	2010
kislevelű hárs	846	Szabolcsbáka	15	2003
juharlevelű platán	600	Tiszakürt	10	2010
juharlevelű platán	733	Hőgyész	16	2003
gyertyán	311	Kaposvár	14	2008
szelídgesztenye	722	Vorhota	19	2001
kislevelű hárs	430	Mór	6	2008
közönséges bükk	442	Püspökszentlászló	2	2011
közönséges bükk	501	Bükkszentkereszt	4	2007
közönséges bükk	426	Bánkút	4	2009
közönséges bükk	501	Monostorapáti	18	2008
kocsányos tölgy	540	Dénesfa	7	2003
fekete nyár	877	Gemenc	1	2010
kocsányos tölgy	626	Gemenc	16	2004
ezüsthárs	640	Bogát	17	2001
juharlevelű platán	640	Előszállás	6	2004
kocsányos tölgy	500	Somogytarnóca	14	2011
kocsányos tölgy	687	Lajosháza	14	2009
kocsányos tölgy	585	Tatabánya	11	2008
vadcseresznye	461	Pénzesgyőr	18	2010
közönséges bükk	460	Pénzesgyőr	18	2009
közönséges bükk	440	Csepreg	17	2007
gyertyán	320	Komlósd	14	2011
szelídgesztenye	534	Velem	17	2004
közönséges jegenyefenyő	430	Fehérvárcsurgó	6	2007
kocsányos tölgy	502	Szeged	5	2008
kocsányos tölgy	533	Lad	14	2006
kocsányos tölgy	540	Kerkafalva	19	2004
hárs	431	Zalabaksa	19	2003
fekete nyár	783	Barcs	14	2010
kocsányos tölgy	524	Rátót	17	2003
gyertyán	329	Somogyviszló	2	2009
kocsányos tölgy	525	Somogyvár	14	2005
kocsányos tölgy	691	Gemenc	16	2003
közönséges bükk	406	Szőcsénypuszta	14	2008
epernarancs	406	Balatonfüred	18	2009
kocsányos tölgy	522	Orosipuszta	3	2004
fehér nyár	637	Bagamér	8	2007
kocsányos tölgy	597	Dénesfa	7	2007
kocsányos tölgy	541	Káptalanfa	18	2008
fekete nyár	638	Révfalu	2	2010
közönséges bükk	414	Püspökszentlászló	2	2011
fekete nyár	986	Gemenc	1	2010
közönséges bükk	401	Püspökszentlászló	2	2011
gyertyán	337	Püspökszentlászló	2	2011
közönséges bükk	418	Pénzesgyőr	18	2006
szelídgesztenye	633	Iharosberény	14	2007
kislevelű hárs	1103	Szőkedencs	14	2003
kocsányos tölgy	539	Oszkó	17	2002
kocsányos tölgy	525	Tormafölde	19	2011
juharlevelű platán	645	Eger	9	2004
közönséges bükk	432	Borsodnádasd	4	2010
közönséges bükk	455	Vásárosbéc	2	2009
csertölgy	518	Nagykovácsi	13	2011
gyertyán	395	Szászvár	2	2011
kocsányos tölgy	524	Gemenc	16	2003
kocsányos tölgy	578	Sárvár	17	2003
kocsányos tölgy	616	Bélmegyer	3	2005
juharlevelű platán	991	Szabadbattyán	6	2002
hárs	441	Tuzsér	15	2003
közönséges bükk	445	Monostorapáti	18	2009
himalájai cédrus	537	Iharosberény	14	2007
kocsánytalan tölgy	512	Mátraháza	9	2008
tulipánfa	423	Szombathely	17	2008
kocsányos tölgy	588	Nagykőrös	13	2004
fekete fenyő	481	Peresznye	17	2010
fűz	659	Ásványráró	7	2010
fekete nyár	640	Gemenc	16	2011
vénic szil	480	Vasszécseny	17	2006
hárs	463	Kaposmérő	14	2006
fűz	676	Lovasberény	6	2010
tulipánfa	552	Iharosberény	14	2007
kocsányos tölgy	519	Földeák	5	2008
kocsányos tölgy	503	Csokonyavisonta	14	2003
közönséges bükk	507	Gézaháza	18	2008
barkóca berkenye	317	Lajosháza	14	2009
közönséges bükk	402	Monostorapáti	18	2008
japánakác	611	Budapest	13	2009
kocsányos tölgy	651	Péterhida	14	2003
vadgesztenye	467	Seregélyes	6	2007
közönséges bükk	476	Monostorapáti	18	2008
fekete nyár	700	Révfalu	2	2010
közönséges bükk	535	Monostorapáti	18	2008
kocsányos tölgy	510	Iklódbördőce	17	2004
kocsánytalan tölgy	528	Sitke	17	2008
ezüst juhar	403	Nagykovácsi	13	2011
fűz	674	Gemenc	1	2010
közönséges bükk	467	Bánkút	4	2009
kocsányos tölgy	510	Sárvár	17	2003
vénic szil	409	Gemenc	16	2011
fehér akác	417	Budapest	13	2008
nagylevelű hárs	515	Sály	4	2004
gyertyán	324	Barcs	14	2003
