bedatum	javdatum	helyaz	szereloaz	munkaora	anyagar
2001.03.03	2001.03.06	90	5	3	871
2001.01.07	2001.01.07	56	5	1	3207
2001.12.24	2001.12.26	310	6	3	2953
2001.02.03	2001.02.03	433	2	3	1694
2001.07.28	2001.07.28	187	4	3	3502
2001.10.29	2001.10.29	47	2	1	1409
2002.01.24	2002.01.24	40	4	3	3094
2001.09.18	2001.09.18	228	6	3	3751
2001.04.26	2001.04.30	12	2	3	777
2001.06.29	2001.06.29	241	1	3	1663
2001.11.16	2001.11.18	443	4	2	2385
2002.01.30	2002.02.01	195	6	1	1148
2001.03.31	2001.04.04	7	6	1	1829
2001.05.29	2001.05.29	90	4	1	4327
2001.10.25	2001.10.26	230	4	2	5217
2001.03.01	2001.03.04	261	4	1	5180
2001.01.06	2001.01.07	286	2	2	1639
2001.09.06	2001.09.09	5	6	1	4709
2001.07.08	2001.07.08	403	3	3	2069
2001.01.21	2001.01.21	28	4	2	3272
2001.06.17	2001.06.19	461	5	2	4759
2002.02.02	2002.02.02	242	3	1	4179
2001.07.31	2001.08.01	358	4	2	681
2001.04.30	2001.04.30	260	4	2	2823
2001.03.26	2001.03.30	294	2	3	3769
2001.03.08	2001.03.10	196	1	3	1430
2001.03.03	2001.03.07	110	1	3	4661
2001.05.07	2001.05.10	429	3	1	1816
